# Locations data file.
#
# name - map name
# descr - map description
# mob - mob names at this location
# npc - npc names at this location
# object - object names at this location
# travel - names of other locations where you can travel from this one
#
# The strings that contains "-=-" are delimetres that splits one map from another
#
# use '#' symbol for comments and empty strings for formatting


name=Стартовая зона номер НУЛЬ
desc=Это какая то зона, которую я создал самой первой, для тестирования парсера и загрузчика локаций. Ну и вообще... а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор=а теперь тест мноооожества строк. Вот повтор.\nСобственно все!
travel=Тестовая зона 1
travel=Тестовая зона 2
travel=Тестовая зона 3
travel=Тестовая зона 4
travel=Тестовая зона 5
-=-
name=Тестовая зона 1
desc=Другая зона для теста
travel=Стартовая зона номер НУЛЬ
travel=Тестовая зона 2
travel=Тестовая зона 3
travel=Тестовая зона 4
travel=Тестовая зона 5
-=-
name=Тестовая зона 2
desc=Другая зона для теста
travel=Тестовая зона 1
travel=Тестовая зона 3
travel=Тестовая зона 5
-=-
name=Тестовая зона 3
desc=Другая зона для теста
travel=Стартовая зона номер НУЛЬ
travel=Тестовая зона 4
travel=Тестовая зона 5
-=-
name=Тестовая зона 4
desc=Другая зона для теста
travel=Стартовая зона номер НУЛЬ
travel=Тестовая зона 2
travel=Тестовая зона 5
-=-
name=Тестовая зона 5
desc=Другая зона для теста
travel=Стартовая зона номер НУЛЬ
travel=Тестовая зона 2
travel=Тестовая зона 3
